Verb,Annotator 1,Annotator 2,Annotator 3
declined,Nonliteral,Nonliteral,Literal
studied,Literal,Literal,Literal
led,Literal,Literal,Literal
imposed,Literal,Nonliteral,Literal
sweeping,Nonliteral,Nonliteral,Nonliteral
sweeping,"['stadium craze', 'the country']",['A stadium craze'],"['the country', 'A stadium craze']"
claim,Literal,Literal,Literal
scoffs,Literal,Literal,Literal
rejected,Literal,Literal,Literal
turned,Literal,Literal,Literal
justified,Literal,Literal,Literal
moved,Nonliteral,Nonliteral,Nonliteral
moved,['civilization'],['civilization'],['civilization']
went,Literal,Literal,Literal
snapped,Literal,Literal,Nonliteral
put,Literal,Literal,Literal
assembled,Nonliteral,Nonliteral,Nonliteral
assembled,['funds'],['The latest two funds'],['The latest two funds']
join,Literal,Literal,Literal
traded,Literal,Literal,Literal
took,Literal,Literal,Literal
taken,Nonliteral,Nonliteral,Nonliteral
taken,['Program trading'],['Program trading'],['Program trading']
tightened,Literal,Literal,Nonliteral
reaped,Nonliteral,Nonliteral,Nonliteral
reaped,"['Some U.S. firms', 'a hefty chunk of their Japanese earnings', 'from index arbitrage']",['Some U.S. firms'],['a hefty chunk of their Japanese earnings']
scrutinizing,Literal,Literal,Nonliteral
serves,Nonliteral,Nonliteral,Nonliteral
serves,['London'],['London'],['London']
traded,Literal,Literal,Literal
traded,Literal,Literal,Literal
gained,Literal,Nonliteral,Literal
identified,Literal,Literal,Literal
Buy,Literal,Literal,Literal
Take,Literal,Literal,Nonliteral
Send,Literal,Literal,Literal
Buy,Literal,Literal,Literal
Make,Literal,Literal,Literal
helping,Literal,Literal,Literal
paint,Literal,Literal,Literal
spackle,Literal,Literal,Literal
stayed,Literal,Literal,Nonliteral
ranged,Literal,Literal,Literal
increased,Literal,Literal,Literal
ranged,Literal,Literal,Literal
rose,Nonliteral,Nonliteral,Nonliteral
rose,"['stocks', '10 %']",['Payouts on the S&P 500 stocks'],['the S&P 500 stocks']
slid,Nonliteral,Nonliteral,Nonliteral
slid,"[""the market 's dividend yield""]","[""the market 's dividend yield""]","[""the market 's dividend yield""]"
keeping,Literal,Literal,Nonliteral
tanked,Nonliteral,Nonliteral,Literal
dropped,Nonliteral,Nonliteral,Nonliteral
dropped,"['the S&P 500 yield', 'below 3 %']",['the S&P 500 yield'],['the S&P 500 yield']
say,Literal,Literal,Literal
look,Literal,Literal,Literal
happen,Literal,Literal,Literal
expected,Literal,Literal,Literal
measure,Literal,Nonliteral,Nonliteral
indicated,Literal,Literal,Literal
totaled,Literal,Literal,Literal
compares,Literal,Literal,Literal
rose,Nonliteral,Nonliteral,Nonliteral
rose,"['Sales', '4 %', 'to $ 3.28 billion', 'from $ 3.16 billion']",['Sales'],['Sales']
soared,Nonliteral,Nonliteral,Nonliteral
soared,"['pretax electronics earnings', '12 % ', 'to $ 107.9 million', 'from $ 96.4 million']",['pretax electronics earnings'],['pretax electronics earnings']
took,Literal,Nonliteral,Nonliteral
posted,Nonliteral,Nonliteral,Literal
rose,Nonliteral,Nonliteral,Nonliteral
rose,"['Sales', '5 %', 'to $ 12.52 billion', 'from $ 11.95 billion']",['Sales'],['Sales']
quoted,Literal,Literal,Literal
opened,Nonliteral,Nonliteral,Nonliteral
opened,['the U.S. currency'],['the U.S. currency'],['the U.S. currency']
cites,Literal,Literal,Literal
settled,Literal,Literal,Literal
quoted,Nonliteral,Literal,Literal
sells,Literal,Literal,Literal
completed,Literal,Literal,Literal
runs,Nonliteral,Nonliteral,Nonliteral
runs,['May Stores'],['May Stores'],['May Stores']
reacted,Literal,Literal,Literal
fallen,Nonliteral,Literal,Nonliteral
hurt,Nonliteral,Nonliteral,Nonliteral
hurt,"[""Campbell 's Italian biscuit operation"", 'by overproduction and distribution problems']","[""Campbell 's Italian biscuit operation , D. Lazzaroni & Co. ""]","["" Campbell 's Italian biscuit operation""]"
set,Literal,Literal,Literal
took,Literal,Literal,Literal
took,Literal,Literal,Nonliteral
